Customer_ID,Gender,Age,Race,zip_code,State,Action_Type,Transaction_Amount_USD,Account_Balance,confusion_value,Timestamp,Bias
6f690371-f7d0-477a-9b7a-af68841ee567,Male,25,Black,33300,FL,online_purchase,11160.54,76588.24,FP,2024-05-01 01:01:05.229258,0
e3f88a71-ec85-4ca3-a7a5-b37aa3fd4840,Female,32,Asian,30445,GA,transfer,28062.25,79571.09,TN,2024-05-01 07:28:37.291704,0
a2c2ded3-8518-44c9-82eb-9ae09923daf9,Female,69,Black,96145,CA,investment,17012.53,29915.38,FN,2024-05-01 03:05:24.101414,0
ac0f764d-c469-4b24-b53e-47f1334ad4a7,Non-Binary,40,White,30868,GA,bill_payment,40356.41,83880.23,FP,2024-05-01 12:05:35.307419,0
c54b7fda-a476-4497-839c-638e45e645f4,Other,58,Asian,61327,IL,atm_withdrawal,9614.43,15901.21,TP,2024-05-01 09:05:54.244098,0
290f89f5-2594-4bc6-b85b-bf9076176d37,Non-Binary,24,Mixed,33628,FL,investment,31784.22,56671.53,FN,2024-05-01 11:13:42.279946,0
02cf4d9b-2ddb-478a-a4ef-fe880641ef29,Other,62,Other,98163,WA,atm_withdrawal,31748.91,68204.54,TP,2024-05-01 05:29:24.283060,0
29500e1c-3c3e-4dab-9325-2a7c15fca13e,Non-Binary,58,Other,49540,MI,online_purchase,34230.71,89664.48,FP,2024-05-01 01:51:20.420651,0
55640f95-7c50-44fa-8bb9-d65a8e28123e,Non-Binary,35,Black,75664,TX,atm_withdrawal,43818.38,61497.49,TN,2024-05-01 12:56:58.674079,0
e0bdcb68-2c29-424c-b17d-95f789720204,Female,47,Asian,H058,FL,online_purchase,12331.38,61545.75,FN,2024-05-01 23:37:27.941435,0
d5202fa6-32c0-4f3a-a09b-9ff90c0c505a,Other,55,Mixed,60582,IL,online_purchase,49866.29,56801.37,TN,2024-05-01 02:48:03.902931,0
6ae20910-d363-4324-b4d7-1d3b841ade22,Other,25,Hispanic,90092,CA,investment,29820.45,56823.25,TN,2024-05-01 16:16:35.902592,0
d1ec2b77-a6ff-493c-958c-332bfe82db85,Other,18,Other,98549,WA,atm_withdrawal,37543.89,85547.58,FN,2024-05-01 03:18:27.165840,0
d96fa8cb-b31a-48c8-a129-910b8b281efe,Male,47,Black,32006,FL,atm_withdrawal,38098.11,69524.57,FP,2024-05-01 09:53:40.532323,0
a14937a1-2711-4242-b035-23aca1a62000,Other,56,Hispanic,90161,CA,bill_payment,38125.54,71499.33,FP,2024-05-01 15:01:07.974230,0
64bde8ed-13c5-44f7-ab30-87daacff0f54,Male,41,White,76030,TX,transfer,12043.58,61946.27,FP,2024-05-01 15:52:04.797549,1
21341ac2-b114-4919-a1ab-b8d14551c4cd,Non-Binary,52,Hispanic,91169,CA,investment,47342.43,56037.61,TN,2024-05-01 06:59:34.791952,0
9cfc52c6-897e-4866-b1a8-7df6e051b632,Female,64,Other,78223,TX,bill_payment,19949.61,73718.41,FN,2024-05-01 14:57:33.473417,0
eb02ce4c-acb8-4d52-ab9c-c8f8b236712d,Male,25,Hispanic,76688,TX,transfer,16904.28,65790.22,TP,2024-05-01 18:14:00.074441,0
79066728-a472-487e-9db6-b59958393e85,Other,63,Other,13814,NY,online_purchase,3370.02,6405.45,FN,2024-05-01 02:32:15.292004,0
bc2508a7-a7de-44ba-87da-eb824df4fd2c,Male,60,Mixed,79427,TX,atm_withdrawal,6615.59,93978.04,TN,2024-05-01 07:50:30.846721,0
06a2511c-ae94-4ff0-8321-2431b5252677,Non-Binary,44,Hispanic,99318,WA,transfer,32949.14,56705.1,TN,2024-05-01 14:55:46.056802,0
fe41ce15-8506-4a18-87da-77ed9976e5e2,Non-Binary,61,Other,98032,WA,transfer,20131.06,47230.8,FP,2024-05-01 06:34:28.146991,0
a5bb384a-711f-4913-b057-c1e2dbd09771,Non-Binary,45,Hispanic,34279,FL,investment,12490.32,93285.0,TN,2024-05-01 17:06:03.683823,0
b68c88a0-f9b5-4e62-b0f3-fc8cd3a8479c,Female,52,Black,99274,WA,online_purchase,8315.56,52841.29,TP,2024-05-01 12:57:03.172634,0
e1c0cc9a-92e3-469f-8d03-aaa17f2b9c16,Non-Binary,42,Black,18677,PA,bill_payment,46325.9,88467.01,FN,2024-05-01 13:44:46.821414,0
dd1c5e9d-7ef2-4c79-821f-d139ccdf538d,Other,53,Other,45569,OH,online_purchase,9494.89,29197.93,FP,2024-05-01 17:03:47.328838,0
ed352f16-0589-4b66-a453-97081ae026c0,Non-Binary,21,Black,30872,GA,investment,25142.52,88974.98,TP,2024-05-01 01:32:05.892697,0
388b9812-8f46-4e47-b149-b771c87c2249,Other,29,Black,30054,GA,transfer,33760.63,49340.39,FP,2024-05-01 18:15:37.623398,0
08b7778d-154d-4fff-a597-f6025712dd13,Female,20,Asian,98357,WA,investment,32868.66,70813.1,FN,2024-05-01 08:13:42.750981,0
3bd3da87-382a-4de4-9635-7862b4d9cd0a,Other,38,Hispanic,34032,FL,investment,6543.91,66869.89,TN,2024-05-01 10:59:48.981188,0
fcb03497-4937-4ac3-9653-aefbafbb29d0,Other,22,Black,45301,OH,atm_withdrawal,49922.72,99804.52,FP,2024-05-01 16:16:08.978593,0
b81ebecf-6ae5-4d2b-b2b6-0429bcbfbcf6,Male,40,Black,76803,TX,bill_payment,14249.37,51823.97,FN,2024-05-01 19:51:41.554634,0
8066fef9-f806-47aa-9fb8-6c8a79c14964,Male,18,Other,49761,MI,bill_payment,46587.8,52120.58,TP,2024-05-01 08:07:56.112235,0
7242bfe8-25d3-4e80-8349-2f03d5dccb10,Male,65,Asian,92652,CA,bill_payment,14087.81,32183.46,FN,2024-05-01 06:43:40.894343,0
0358f3a5-efae-43a7-b790-72aacdf17696,Female,34,Asian,44787,OH,bill_payment,45266.82,91576.77,FP,2024-05-01 08:02:00.349759,1
c716bc0a-5386-4997-8c49-711b37a9d4da,Female,67,Hispanic,33796,FL,online_purchase,37061.55,71783.46,TN,2024-05-01 17:00:07.078898,0
8f597597-ca3f-4f28-baa6-13005c9e61a7,Male,62,Hispanic,48206,MI,transfer,41729.75,75672.73,TP,2024-05-01 13:08:02.323232,0
1e81d643-372c-48e0-87a2-999bcbe8408b,Male,41,Black,62057,IL,online_purchase,34103.33,78052.02,FN,2024-05-01 17:56:55.426117,0
a9d938d0-2b89-4d96-a362-c5d2bb7fa8f5,Male,57,Other,94085,CA,online_purchase,43230.28,98649.22,TP,2024-05-01 13:01:11.772343,0
28449d13-da4c-46e6-b3bd-e7d686d38243,Other,39,Mixed,76303,TX,bill_payment,7959.89,72505.61,TN,2024-05-01 01:54:30.233238,0
71f05231-b728-41fb-a3bb-d7e2c0ceb70e,Male,30,Mixed,60630,IL,bill_payment,41026.82,92411.51,TP,2024-05-01 00:42:12.417821,0
2537bfa3-04d0-473d-9365-d7413eac7516,Male,39,White,98125,WA,bill_payment,17557.31,59554.08,FN,2024-05-01 00:07:56.273903,0
